k_Mpc^-1,T_őĺ‚Čą10 Mpc,T_őĺ‚Čą3 Mpc,T_őĺ‚Čą30 Mpc,uniform_lowS8_ref
0.0050119,1.3262,1.3271,1.3166,0.8384
0.0061611,1.3257,1.3271,1.3113,0.8384
0.0075737,1.3249,1.3270,1.3037,0.8384
0.0093103,1.3238,1.3269,1.2928,0.8384
0.011445,1.3220,1.3267,1.2775,0.8384
0.014069,1.3194,1.3264,1.2568,0.8384
0.017295,1.3156,1.3259,1.2299,0.8384
0.021261,1.3099,1.3253,1.1967,0.8384
0.026136,1.3016,1.3243,1.1582,0.8384
0.032129,1.2899,1.3228,1.1161,0.8384
0.039496,1.2735,1.3205,1.0727,0.8384
0.048552,1.2514,1.3172,1.0300,0.8384
0.059685,1.2231,1.3123,0.9893,0.8384
0.07337,1.1886,1.3051,0.9513,0.8384
0.090193,1.1491,1.2948,0.9161,0.8384
0.11087,1.1065,1.2802,0.8835,0.8384
0.1363,1.0631,1.2604,0.8534,0.8384
0.16755,1.0208,1.2345,0.8255,0.8384
0.20596,0.9807,1.2022,0.7998,0.8384
0.25319,0.9433,1.1644,0.7763,0.8384
0.31125,0.9087,1.1227,0.7552,0.8384
0.38261,0.8767,1.0793,0.7364,0.8384
0.47034,0.8470,1.0364,0.7202,0.8384
0.57819,0.8196,0.9954,0.7067,0.8384
0.71076,0.7944,0.9570,0.6957,0.8384
0.87373,0.7715,0.9214,0.6871,0.8384
1.0741,0.7508,0.8884,0.6806,0.8384
1.3204,0.7326,0.8579,0.6758,0.8384
1.6231,0.7170,0.8296,0.6725,0.8384
1.9953,0.7040,0.8036,0.6701,0.8384
