paper,role,product,region_or_bin,relation_to_retained_timing,reported_table_or_text_value,constraint_status,zero_compatible,sign_status,timing_support_assessment,classification_contribution,evidence_source
Escamilla et al. 2023,primary,GP Pi_DE w=-1,z=0.0,late tail and low-redshift shoulder,"Pi_1=-0.01 (0.26)","constrained but consistent with zero",yes,mixed_or_none,"allows late-time coupling but does not inform retained peak","allowed_but_not_informative","Table 3"
Escamilla et al. 2023,primary,GP Pi_DE w=-1,z=0.75,inside retained half-max support,"Pi_2=-0.26 (0.36)","constrained but consistent with zero",yes,mixed_or_none,"overlaps retained support but gives no decisive timing preference","allowed_but_not_informative","Table 3"
Escamilla et al. 2023,primary,GP Pi_DE w=-1,z=1.5,near retained weighted mean,"Pi_3=-0.29 (1.04)","broad and consistent with zero",yes,mixed_or_none,"overlaps retained weighted-mean region but is weak","allowed_but_not_informative","Table 3"
Escamilla et al. 2023,primary,GP Pi_DE w=-1,z=2.25,near retained peak,"Pi_4=0.93 (5.34)","very broad and consistent with zero",yes,mixed_or_none,"near retained peak but too broad to support a compression prior","allowed_but_not_informative","Table 3"
Escamilla et al. 2023,primary,GP Pi_DE w=-1,z=3.0,retained high-z shoulder,"Pi_5 unconstr.","unconstrained",unknown,not_comparable,"cannot test retained high-z shoulder","inconclusive_due_to_data_limitations","Table 3"
Escamilla et al. 2023,primary,GP Pi_DE w0 free,z=0.0,late tail and low-redshift shoulder,"Pi_1=-0.78 (0.71)","broad; weak nonzero tendency but not decisive",yes,mixed_or_none,"allows late-time structure but not retained-specific","allowed_but_not_informative","Table 3"
Escamilla et al. 2023,primary,GP Pi_DE w0 free,z=0.75,inside retained half-max support,"Pi_2=-0.16 (0.39)","constrained but consistent with zero",yes,mixed_or_none,"overlaps retained support but gives no decisive timing preference","allowed_but_not_informative","Table 3"
Escamilla et al. 2023,primary,GP Pi_DE w0 free,z=1.5,near retained weighted mean,"Pi_3=-0.22 (1.14)","broad and consistent with zero",yes,mixed_or_none,"overlaps retained weighted-mean region but is weak","allowed_but_not_informative","Table 3"
Escamilla et al. 2023,primary,GP Pi_DE w0 free,z=2.25,near retained peak,"Pi_4=5.35 (5.82); text reports a more prominent maximum near z~2.3","very broad; weak structure-era feature",yes,mixed_or_none,"best table-level overlap with retained peak, but still broad and zero-compatible","allowed_but_not_informative","Table 3 and results text"
Escamilla et al. 2023,primary,GP Pi_DE w0 free,z=3.0,retained high-z shoulder,"Pi_5 unconstr.","unconstrained",unknown,not_comparable,"cannot test retained high-z shoulder","inconclusive_due_to_data_limitations","Table 3"
Escamilla et al. 2023,primary,binned Pi_DE w=-1,z<0.6,late tail and low-redshift shoulder,"Pi_1=0.04 (0.05)","constrained; weak positive but small",yes,mixed_or_none,"late-time bin is constrained but not retained-specific","allowed_but_not_informative","Table 3"
Escamilla et al. 2023,primary,binned Pi_DE w=-1,0.6<=z<1.2,inside retained half-max support,"Pi_2=-0.61 (0.56)","broad and consistent with zero at about 1 sigma",yes,mixed_or_none,"overlaps retained support but no decisive timing preference","allowed_but_not_informative","Table 3"
Escamilla et al. 2023,primary,binned Pi_DE w=-1,1.2<=z<1.8,near retained weighted mean,"Pi_3=0.54 (3.16)","very broad and consistent with zero",yes,mixed_or_none,"near weighted mean but too broad","allowed_but_not_informative","Table 3"
Escamilla et al. 2023,primary,binned Pi_DE w=-1,1.8<=z<2.4,near retained peak,"Pi_4 unconstr.","unconstrained",unknown,not_comparable,"cannot classify retained peak from binned table product","inconclusive_due_to_data_limitations","Table 3"
Escamilla et al. 2023,primary,binned Pi_DE w=-1,z>2.4,retained high-z shoulder,"Pi_5 unconstr.","unconstrained",unknown,not_comparable,"cannot test retained high-z shoulder","inconclusive_due_to_data_limitations","Table 3"
Escamilla et al. 2023,primary,binned Pi_DE w0 free,z<0.6,late tail and low-redshift shoulder,"Pi_1=0.02 (0.06)","constrained but consistent with zero",yes,mixed_or_none,"late-time bin is constrained but not retained-specific","allowed_but_not_informative","Table 3"
Escamilla et al. 2023,primary,binned Pi_DE w0 free,0.6<=z<1.2,inside retained half-max support,"Pi_2=-0.43 (0.76)","broad and consistent with zero",yes,mixed_or_none,"overlaps retained support but no decisive timing preference","allowed_but_not_informative","Table 3"
Escamilla et al. 2023,primary,binned Pi_DE w0 free,1.2<=z<1.8,near retained weighted mean,"Pi_3=0.18 (3.55)","very broad and consistent with zero",yes,mixed_or_none,"near weighted mean but too broad","allowed_but_not_informative","Table 3"
Escamilla et al. 2023,primary,binned Pi_DE w0 free,1.8<=z<2.4,near retained peak,"Pi_4 unconstr.","unconstrained",unknown,not_comparable,"cannot classify retained peak from binned table product","inconclusive_due_to_data_limitations","Table 3"
Escamilla et al. 2023,primary,binned Pi_DE w0 free,z>2.4,retained high-z shoulder,"Pi_5 unconstr.","unconstrained",unknown,not_comparable,"cannot test retained high-z shoulder","inconclusive_due_to_data_limitations","Table 3"
Goh et al. 2023,secondary_proxy,7-bin beta Planck+ACT1800+SPT+BSC,1<z<2,near retained weighted mean,"beta_2 <0.124","upper limit only",yes,positive_only_proxy,"allows nonzero proxy coupling but not a direct IV transfer history","allowed_but_not_informative","Table actpolcut_bestfit"
Goh et al. 2023,secondary_proxy,7-bin beta Planck+ACT1800+SPT+BSC,2<z<5,contains retained peak and high-z shoulder,"beta_3 <0.094","upper limit only",yes,positive_only_proxy,"allows nonzero proxy coupling but does not prefer retained timing","allowed_but_not_informative","Table actpolcut_bestfit"
Goh et al. 2023,secondary_proxy,7-bin beta Planck+ACT1800+SPT+BSC+RSD,1<z<2,near retained weighted mean,"beta_2 <0.015","tight upper limit",yes,positive_only_proxy,"secondary proxy constrains this region but is not a direct IV transfer conflict","allowed_but_not_informative","Table actpolcut_bestfit"
Goh et al. 2023,secondary_proxy,7-bin beta Planck+ACT1800+SPT+BSC+RSD,2<z<5,contains retained peak and high-z shoulder,"beta_3=0.064 (-0.023,+0.018)","nonzero proxy estimate",not_at_1sigma,positive_only_proxy,"secondary proxy has structure-era activity but cannot promote retained timing","allowed_but_not_informative","Table actpolcut_bestfit"
Goh et al. 2023,secondary_proxy,4-bin beta 3x2pt,1<z<2,near retained weighted mean,"beta_3=0.016 (-0.010,+0.007)","small positive proxy estimate",not_at_1sigma,positive_only_proxy,"late-probe proxy allows activity in retained support but is not direct IV evidence","allowed_but_not_informative","Table WL_bestfit"
Goh et al. 2023,secondary_proxy,4-bin beta 3x2pt,z>2,contains retained peak shoulder only coarsely,"beta_4=0.015 (-0.011,+0.006)","small positive proxy estimate",not_at_1sigma,positive_only_proxy,"coarse proxy bin cannot resolve retained peak","allowed_but_not_informative","Table WL_bestfit"
Bonilla et al. 2022,optional,delta(z),low-z GP reconstruction,optional target,"no table-level timing history used","not used",unknown,not_comparable,"requires author data or digitization before use","inconclusive_due_to_data_limitations","figures and text only for timing history"
